Ad state,Ad,Description line 1,Description line 2,Display URL,Destination URL,Final URL,Mobile final URL,Tracking template,Custom parameter,Headline 1,Headline 2,Description,Path 1,Path 2,Short headline,Long headline,Business name,Logo ID (responsive),Image ID (responsive),Campaign,Ad group,Status,Labels,Campaign type,Campaign subtype,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Conversions,Cost / conv.,Conv. rate,All conv.,View-through conv.,Ad ID,Ad group ID,Ad type
enabled,Call back API,Initiate phone calls easily.,From/to regular phone numbers & SIP,sonetel.com/call_back_api,,http://sonetel.com/en/help/support-center/help-topics/api/call-back-api/,,,,,,,,,,,, --, --,New | English - North America - search,Call back API,ad group paused, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,74523574922,19104071882,Text ad
enabled,New York Online Number,Answer calls anywhere anywhere.,Try free now!,www.sonetel.com,,http://sonetel.com/en/l/online-number-new-york/,http://sonetel.com/en/l/online-number-new-york/,,,,,,,,,,, --, --,New | English - North America - search,Online phone number - New York,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675406962,17271599642,Text ad
enabled,Virtual number forwarding,In the Dominican Republic.,Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Dominican Republic,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675404922,5196898322,Text ad
enabled,Phone numbers,"In Bulgaria, from $3.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Bulgaria,approved, --,Search Only,All features,0,12,0.00%,0,0,2.3,0,0,0.00%,0,0,80675403002,5196903602,Text ad
enabled,Virtual phone numbers,"In Panama, from $7.80/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Panama,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675399402,5196899042,Text ad
enabled,Virtual number forwarding,"In the UK, from $1.99/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - UK,approved, --,Search Only,All features,22,973,2.26%,26.46,582.01,2.2,2,291,9.09%,2,0,80675404802,5196897962,Text ad
enabled,New York Online Number,For your business. From $0.99.,Try free now!,www.sonetel.com,,http://sonetel.com/en/l/online-number-new-york/,http://sonetel.com/en/l/online-number-new-york/,,,,,,,,,,, --, --,New | English - North America - search,Online phone number - New York,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675406842,17271599642,Text ad
enabled,Virtual number forwarding,"In Greece, from $4.90/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Greece,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675410802,5196890042,Text ad
enabled,VOIP Numbers,"In Puerto Rico, from $13/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Puerto Rico,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675411042,5196890522,Text ad
enabled,Virtual phone numbers,"In Japan, from $6.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Japan,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675412362,5196902162,Text ad
enabled,Virtual telephone numbers,From $0.99 per month.,Try free now!,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,03. Virtual Phone Number,approved, --,Search Only,All features,278,11391,2.44%,13.77,"3,828.80",2.9,15,255.25,5.40%,15,0,80675414042,5196898082,Text ad
enabled,Virtual number forwarding,"Czech Republic, from $1.99/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Czech Republic,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675412242,5196901922,Text ad
enabled,Phone numbers,"In Estonia, from $3.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Estonia,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675399522,5196899162,Text ad
enabled,Phone numbers,"In Hong Kong, from $9.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Hong Kong,approved, --,Search Only,All features,0,14,0.00%,0,0,2.7,0,0,0.00%,0,0,80675400482,5196912122,Text ad
enabled,Buy a Local Phone Number,In any country. From $0.99.,Try free now!,www.sonetel.com,,http://sonetel.com/en/l/local-number/,http://sonetel.com/en/l/local-number/,,,,,,,,,,, --, --,New | English - North America - search,Local phone number,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675406242,17271599402,Text ad
enabled,VOIP numbers,"In Toronto, from $1.49/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,05. VOIP Number - City - Toronto,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675405762,5762467802,Text ad
enabled,Phone numbers,"In Belgium, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Belgium,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675409122,5196905642,Text ad
enabled,Virtual phone numbers,From $0.99 per month.,Try free now!,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,03. Virtual Phone Number,approved, --,Search Only,All features,330,12119,2.72%,10.82,"3,570.55",2.6,13,274.66,3.94%,13,0,80675413562,5196898082,Text ad
enabled,Virtual number forwarding,"In Singapore, from $8.90/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Singapore,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675415602,5196910562,Text ad
enabled,Virtual phone numbers,"In Mexico, from $7.80/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Mexico,approved, --,Search Only,All features,1,3,33.33%,11.33,11.33,4,0,0,0.00%,0,0,80675417402,5196906362,Text ad
enabled,VOIP numbers,"In California, from $0.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,05. VOIP Number - City - California,ad group paused, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675419682,5762467202,Text ad
enabled,VOIP Phone Numbers,From $0.99 per month.,Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,03. VOIP Number,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675426762,5196906722,Text ad
enabled,Get a VOIP number,"In Malaysia, from $9.90/month.",Answer calls anywhere worldwide!,sonetel.com/voip-number,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Malaysia,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675428322,21756261242,Text ad
enabled,Call me API,Initiate phone calls with an URL.,Works with phone numbers & SIP.,sonetel.com/call_back_api,,http://sonetel.com/en/help/support-center/help-topics/api/call-back-api/,,,,,,,,,,,, --, --,New | English - North America - search,Call back API,ad group paused, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,74523575162,19104071882,Text ad
paused,VOIP Numbers,"In Argentina, from $8,80/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Turkey,paused, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675418602,21756261482,Text ad
enabled,Virtual phone numbers,"In Cyprus, from $5.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Cyprus,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675425562,5196912362,Text ad
enabled,Phone numbers,"In Los Angeles, from $0.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,05. Phone Number - City - Los Angeles,ad group paused, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675421002,5762466002,Text ad
enabled,Phone numbers,"In Cyprus, from $5.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Cyprus,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675424122,5196893642,Text ad
enabled,VOIP Numbers,"In Romania, from $3.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Romania,approved, --,Search Only,All features,0,8,0.00%,0,0,3.9,0,0,0.00%,0,0,80675404322,5196901802,Text ad
enabled,New York Online Number,Global forwarding. From $0.99/month,Try free now!,www.sonetel.com,,http://sonetel.com/en/l/online-number-new-york/,http://sonetel.com/en/l/online-number-new-york/,,,,,,,,,,, --, --,New | English - North America - search,Online phone number - New York,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675407082,17271599642,Text ad
enabled,VOIP Numbers,"In Slovakia, from $3.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Slovakia,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675409362,5196896642,Text ad
enabled,Phone numbers,"In Finland, from $3.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Finland,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675421962,5196891842,Text ad
enabled,VOIP Numbers,"In Mexico, from $7.80/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Mexico,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675422922,5196898802,Text ad
enabled,Virtual phone numbers,"In Greece, from $4.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Greece,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675424242,5196894122,Text ad
enabled,Phone numbers,"In the UK, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - UK,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675424482,5196890882,Text ad
enabled,VOIP Numbers,"In Panama, from $7.80/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Panama,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675424842,5196910202,Text ad
enabled,Phone numbers,"In Poland, from $3.50/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Poland,approved, --,Search Only,All features,0,1,0.00%,0,0,3,0,0,0.00%,0,0,80675415122,5196895682,Text ad
enabled,Virtual number forwarding,"In Croatia, from $3.99/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Croatia,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675416562,5196908042,Text ad
enabled,VOIP numbers,"In Madrid, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,05. VOIP Number - City - Madrid,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675419802,5762467562,Text ad
enabled,Virtual number forwarding,"In Toronto, from $1.49/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,05. Call Forwarding - City - Toronto,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675420762,5762465642,Text ad
enabled,VOIP Numbers,"In Greece, from $4.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Greece,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675424962,5196892082,Text ad
enabled,Virtual number forwarding,Buy local phone number from $0.99.,Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,02. Call Forwarding,approved, --,Search Only,All features,3,7,42.86%,40.91,122.72,3.6,0,0,0.00%,0,0,80675418122,5196902882,Text ad
enabled,Virtual phone numbers,"In Switzerland, from $3.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Switzerland,approved, --,Search Only,All features,0,1,0.00%,0,0,6,0,0,0.00%,0,0,80675425442,5196912242,Text ad
enabled,New York Online Number,Have a local phone number in NY.,Try free now!,www.sonetel.com,,http://sonetel.com/en/l/online-number-new-york/,http://sonetel.com/en/l/online-number-new-york/,,,,,,,,,,, --, --,New | English - North America - search,Online phone number - New York,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675407202,17271599642,Text ad
enabled,Phone numbers,"The Netherlands, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Netherlands,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675409002,5196905522,Text ad
enabled,VOIP Numbers,"In Hong Kong, from $9.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Hong Kong,approved, --,Search Only,All features,0,1,0.00%,0,0,2,0,0,0.00%,0,0,80675411882,5196901082,Text ad
enabled,Get a VOIP number,"In Colombia, from $19.90/month.",Answer calls anywhere worldwide!,sonetel.com/voip-number,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Colombia,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675429282,21756261002,Text ad
enabled,Virtual phone numbers,"In Bahrain, from $9.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Bahrain,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675413322,5196897602,Text ad
enabled,Virtual number forwarding,"In Bahrain, from $9.90/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Bahrain,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675413442,5196897722,Text ad
enabled,Get a VOIP number,"In Liechtenstein, from $1.99/month.",Answer calls anywhere worldwide!,sonetel.com/voip-number,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Liechtenstein,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675418362,21756261122,Text ad
enabled,VOIP Numbers,"In Singapore, from $8.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Singapore,approved, --,Search Only,All features,2,5,40.00%,17.82,35.63,4.6,0,0,0.00%,0,0,80675423402,5196896762,Text ad
enabled,Phone numbers,"In Peru, from $7.80/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Peru,approved, --,Search Only,All features,0,17,0.00%,0,0,2.2,0,0,0.00%,0,0,80675426162,5196909362,Text ad
enabled,Phone numbers,"In Austria, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Austria,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675398442,5196904442,Text ad
enabled,Virtual number forwarding,"In Romania, from $3.99/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Romania,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675401442,5196896402,Text ad
enabled,Virtual phone numbers,"In Bulgaria, from $3.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Virtual Phone Number - Bulgaria,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675402882,5196903482,Text ad
enabled,Phone numbers,"In Ireland, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/phone-number/,http://sonetel.com/en/l/phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Phone Number - Ireland,approved, --,Search Only,All features,0,17,0.00%,0,0,2.2,0,0,0.00%,0,0,80675407802,5196913202,Text ad
enabled,VOIP Numbers,"In Latvia, from $1.99/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Latvia,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675411522,5196903242,Text ad
enabled,Virtual number forwarding,"In Poland, from $3.50/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Poland,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675411642,5196904202,Text ad
enabled,VOIP Numbers,"In Finland, from $3.90/month.",Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/voip-number/,http://sonetel.com/en/l/voip-number/,,,,,,,,,,, --, --,New | English - North America - search,VOIP Number - Finland,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675410202,5196893882,Text ad
enabled,Virtual phone numbers,From $0.99 per month.,Answer calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,03. Virtual Phone Number,approved, --,Search Only,All features,707,25492,2.77%,13.34,"9,433.21",2.8,41,230.08,5.80%,41,0,80675413682,5196898082,Text ad
enabled,Virtual number forwarding,"In Israel, from $3.70/month.",Forward calls anywhere worldwide.,sonetel.com,,http://sonetel.com/en/l/virtual-phone-number/,http://sonetel.com/en/l/virtual-phone-number/,,,,,,,,,,, --, --,New | English - North America - search,Call Forwarding - Israel,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675416322,5196907682,Text ad
enabled,Cheap Local Phone Numbers,Get a new phone number. From $0.99.,Try free now!,www.sonetel.com,,http://sonetel.com/en/l/local-number/,http://sonetel.com/en/l/local-number/,,,,,,,,,,, --, --,New | English - North America - search,Local phone number,approved, --,Search Only,All features,0,0,0.00%,0,0,0,0,0,0.00%,0,0,80675406002,17271599402,Text ad
