Date,bedTime,Day,secondsAsleep,timeAsleep
7-Feb-16,02:10AM,1,20220,5.62
8-Feb-16,01:12AM,2,20040,5.57
8-Feb-16,07:18PM,2,9480,2.63
8-Feb-16,10:49PM,2,31020,8.62
10-Feb-16,12:21AM,4,22500,6.25
10-Feb-16,12:08PM,4,41460,11.52
11-Feb-16,11:45PM,5,26160,7.27
12-Feb-16,11:14AM,6,7140,1.98
12-Feb-16,11:29PM,6,27000,7.5
14-Feb-16,09:26PM,1,15480,4.3
15-Feb-16,02:20AM,2,18420,5.12
15-Feb-16,12:51PM,2,7800,2.17
15-Feb-16,09:59PM,2,29340,8.15
17-Feb-16,12:28AM,4,26460,7.35
17-Feb-16,11:45AM,4,5520,1.53
17-Feb-16,11:02PM,4,26040,7.23
20-Feb-16,12:35AM,7,21660,6.02
20-Feb-16,12:07PM,7,7980,2.22
21-Feb-16,12:32AM,1,24300,6.75
21-Feb-16,11:36AM,1,4920,1.37
21-Feb-16,10:27PM,1,26880,7.47
22-Feb-16,11:47PM,2,24900,6.92
23-Feb-16,10:02PM,3,21060,5.85
24-Feb-16,09:56AM,4,4080,1.13
26-Feb-16,05:26PM,6,15480,4.3
27-Feb-16,12:49AM,7,22620,6.28
27-Feb-16,12:44PM,7,3720,1.03
28-Feb-16,12:41AM,1,25560,7.1
4-Mar-16,12:06AM,6,23040,6.4
4-Mar-16,01:14PM,6,7260,2.02
5-Mar-16,02:31AM,7,12420,3.45
6-Mar-16,01:15AM,1,17820,4.95
7-Mar-16,12:01AM,2,15600,4.33
7-Mar-16,10:46PM,2,27060,7.52
10-Mar-16,12:03AM,5,23160,6.43
12-Mar-16,12:10AM,7,23040,6.4
13-Mar-16,12:42AM,1,21960,6.1
13-Mar-16,11:15PM,1,25860,7.18
14-Mar-16,11:10PM,2,24840,6.9
15-Mar-16,11:19PM,3,23520,6.53
17-Mar-16,11:17PM,5,23760,6.6
19-Mar-16,12:00AM,7,20640,5.73
19-Mar-16,10:59PM,7,28800,8
22-Mar-16,11:22PM,3,23160,6.43
23-Mar-16,11:33PM,4,24120,6.7
24-Mar-16,11:34PM,5,28560,7.93
26-Mar-16,11:27PM,7,22980,6.38
28-Mar-16,12:16AM,2,23160,6.43
28-Mar-16,09:00PM,2,3660,1.02
29-Mar-16,10:46PM,3,26280,7.3
30-Mar-16,11:03PM,4,25800,7.17
31-Mar-16,10:52PM,5,26880,7.47
2-Apr-16,12:37AM,7,17460,4.85
2-Apr-16,10:53PM,7,28440,7.9
3-Apr-16,09:33PM,1,4140,1.15
3-Apr-16,11:03PM,1,25140,6.98
4-Apr-16,10:34PM,2,23280,6.47
5-Apr-16,11:05PM,3,20700,5.75
6-Apr-16,11:04PM,4,25920,7.2
7-Apr-16,10:02PM,5,7860,2.18
8-Apr-16,01:24AM,6,16980,4.72
8-Apr-16,11:59PM,6,22200,6.17
9-Apr-16,01:02PM,7,4380,1.22
10-Apr-16,12:34AM,1,19440,5.4
10-Apr-16,10:34PM,1,26880,7.47
12-Apr-16,10:29PM,3,30000,8.33
13-Apr-16,11:24PM,4,23040,6.4
14-Apr-16,10:54PM,5,23460,6.52
15-Apr-16,11:36PM,6,22800,6.33
16-Apr-16,06:42AM,7,12960,3.6
17-Apr-16,12:00AM,1,16440,4.57
18-Apr-16,12:00AM,2,23280,6.47
19-Apr-16,12:00AM,3,23400,6.5
19-Apr-16,11:13PM,3,23940,6.65
20-Apr-16,11:22PM,4,24360,6.77
21-Apr-16,11:34PM,5,23640,6.57
22-Apr-16,10:06PM,6,26880,7.47
23-Apr-16,12:28PM,7,6660,1.85
23-Apr-16,11:54PM,7,24840,6.9
26-Apr-16,11:43PM,3,23040,6.4
27-Apr-16,11:35PM,4,20460,5.68
28-Apr-16,11:00PM,5,27360,7.6
29-Apr-16,11:27PM,6,24900,6.92
30-Apr-16,11:59AM,7,6180,1.72
30-Apr-16,11:12PM,7,25740,7.15
1-May-16,10:30PM,1,27060,7.52
2-May-16,10:27PM,2,28020,7.78
3-May-16,01:23PM,3,3720,1.03
3-May-16,11:02PM,3,23820,6.62
4-May-16,11:54PM,4,19440,5.4
5-May-16,11:23PM,5,24540,6.82
7-May-16,12:02AM,7,23280,6.47
7-May-16,01:48PM,7,6900,1.92
8-May-16,12:05AM,1,23940,6.65
8-May-16,11:31PM,1,23520,6.53
11-May-16,12:34AM,4,20340,5.65
12-May-16,12:43AM,5,18840,5.23
12-May-16,11:00PM,5,28680,7.97
13-May-16,12:32PM,6,7140,1.98
13-May-16,11:52PM,6,19980,5.55
14-May-16,11:37AM,7,7080,1.97
14-May-16,11:58PM,7,28260,7.85
15-May-16,11:25PM,1,24060,6.68
16-May-16,11:23PM,2,18000,5
17-May-16,09:23AM,3,8580,2.38
17-May-16,11:31PM,3,25800,7.17
18-May-16,10:29PM,4,26700,7.42
19-May-16,10:45PM,5,24780,6.88
20-May-16,11:20PM,6,28260,7.85
22-May-16,12:41AM,1,23700,6.58
22-May-16,10:17PM,1,27300,7.58
23-May-16,10:06PM,2,25920,7.2
25-May-16,11:49PM,4,22560,6.27
26-May-16,11:15PM,5,24900,6.92
27-May-16,11:35PM,6,28320,7.87
28-May-16,11:25PM,7,26520,7.37
31-May-16,12:10AM,3,24420,6.78
31-May-16,11:45PM,3,24120,6.7
1-Jun-16,11:35PM,4,27120,7.53
2-Jun-16,11:59PM,5,25980,7.22
3-Jun-16,02:06PM,6,7320,2.03
3-Jun-16,11:10PM,6,28740,7.98
5-Jun-16,12:56AM,1,21900,6.08
6-Jun-16,12:14AM,2,18720,5.2
6-Jun-16,10:38PM,2,17100,4.75
7-Jun-16,09:57PM,3,23040,6.4
8-Jun-16,10:05PM,4,28500,7.92
9-Jun-16,11:53PM,5,21660,6.02
